ID ,Primary_Property_ID ,Property_Name,SV ,Agoda,MMT ,Booking ,Airbnb
5274,5134,Tree House @ The Fig Tree Heritage - 1BR,https://www.stayvista.com/villa/tree-house-at-the-fig-tree-heritage,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601131320453551&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000721180https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-the-fig-tree-heritage.html,https://www.airbnb.com/rooms/1592642288908241406
5276,5173,M4 Villas - 5BR (1),https://www.stayvista.com/villa/coral-at-m4-villas,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601051329207175&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000718494https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-m4-villas.html,https://www.airbnb.com/rooms/1586888032140169048
5277,5173,M4 Villas - 5BR (2),https://www.stayvista.com/villa/sapphire-at-m4-villas,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601051450138008&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000718510https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-m4-villas.html,https://www.airbnb.com/rooms/1586888032140169048
5278,5278,Casa Bliss,https://www.stayvista.com/villa/casa-bliss,https://www.agoda.com/gostops-goa-panaji/hotel/goa-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601311650409794&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000726928https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-casa-bliss-with-pool-bbq-and-karaoke.html,https://www.airbnb.com/rooms/1610592093248358801
5279,5279,Casa Aura,https://www.stayvista.com/villa/casa-aura,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202602031550439816&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000728308https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-casa-aura-with-lawn-pool.html,https://www.airbnb.com/rooms/1608614198413933197
5280,5280,Hindavi Green Escape,https://www.stayvista.com/villa/hindavi-green-escape,https://www.agoda.com/stayvista-at-hindavi-green-escape/hotel/kolvan-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601271459086594&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000724867https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/hindavi-green-escape.html,https://www.airbnb.com/rooms/1598463004340126774
5282,5282,Azalea,https://www.stayvista.com/villa/azalea,https://www.agoda.com/en-gb/stayvista-at-azalea/hotel/zirad-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601231649213451&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000724147https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-azalea.html,https://www.airbnb.com/rooms/1604996960759604559
5283,5286,Matcha - Executive Room @ Sirmour Baag - 12BR,https://www.stayvista.com/villa/matcha-executive-room-at-sirmour-baag,,,,
5285,5286,Juniper - Suite Room with Jacuzzi @ Sirmour Baag - 4BR,https://www.stayvista.com/villa/juniper-suite-room-with-jacuzzi-at-sirmour-baag,,,,
5288,1688,Moets Waterfront Estate 2 Bed Cottage,https://www.stayvista.com/villa/oasis-at-moets-waterfront-estate,https://www.agoda.com/en-in/moets-waterfront-estate-by-vista-rooms/hotel/manali-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202105071002096669&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000345098https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/riverside-estate-by-vista-rooms.html,https://www.airbnb.com/rooms/1613767619149796517
